Protein_ID,Peptide_ID,Log_Affinity
6AZK_E_A,6AZK_E_A,3.361727836
6B5O_A_H,6B5O_A_H,0.668385917
6B5R_A_H,6B5R_A_H,0.227886705
6B5T_A_H,6B5T_A_H,0.344392274
6BJ2_C_D,6BJ2_C_D,3.602059991
6BJ3_C_D,6BJ3_C_D,4.230448921
6CDM_C_A,6CDM_C_A,-0.09420412
6CDO_C_A,6CDO_C_A,0.025305865
6CDP_C_A,6CDP_C_A,0.214843848
6CT7_S_A,6CT7_S_A,2
6F7T_C_H,6F7T_C_H,-0.443697499
1AN1_I_E,1AN1_I_E,-0.045757491
1DPJ_B_A,1DPJ_B_A,0.477121255
1EB1_L_H,1EB1_L_H,-1.431798276
1EES_B_A,1EES_B_A,1.301029996
1G5J_B_A,1G5J_B_A,-0.22184875
1G9I_I_E,1G9I_I_E,2.079181246
1GL0_I_E,1GL0_I_E,-0.096910013
1GL1_I_A,1GL1_I_A,-0.886056648
1HIA_I_A,1HIA_I_A,1.113943352
1I5K_C_A,1I5K_C_A,1.62324929
1IHS_I_H,1IHS_I_H,-0.522878745
1J2J_B_A,1J2J_B_A,3.146128036
1JGN_B_A,1JGN_B_A,2.544068044
1JH4_B_A,1JH4_B_A,3.176091259
1KBH_A_B,1KBH_A_B,1.531478917
1LJ2_C_A,1LJ2_C_A,4.431363764
1LM8_H_V,1LM8_H_V,2.342422681
1LQB_D_C,1LQB_D_C,1.491361694
1M5N_Q_S,1M5N_Q_S,0.322219295
1MCV_I_A,1MCV_I_A,1.991226076
1MZW_B_A,1MZW_B_A,3.294466226
1O9A_B_A,1O9A_B_A,3
1OZS_B_A,1OZS_B_A,4.491361694
1P22_C_A,1P22_C_A,2.681241237
1PD7_B_A,1PD7_B_A,2.477121255
1PJM_A_B,1PJM_A_B,2.255272505
1PJN_A_B,1PJN_A_B,1.342422681
1PSB_C_A,1PSB_C_A,4.301029996
1Q5W_A_B,1Q5W_A_B,5.100370545
1RKC_B_A,1RKC_B_A,1.591064607
1SB0_B_A,1SB0_B_A,4.176091259
1SMF_I_E,1SMF_I_E,2.079181246
1SYQ_B_A,1SYQ_B_A,1.167317335
1T01_B_A,1T01_B_A,1.591064607
1T08_B_A,1T08_B_A,3.491361694
1TT5_E_B,1TT5_E_B,4.342422681
1V18_B_A,1V18_B_A,1
1VYT_E_A,1VYT_E_A,1.301029996
1WA7_B_A,1WA7_B_A,3.981365509
1WLP_A_B,1WLP_A_B,2.806179974
1YDI_B_A,1YDI_B_A,0.250420002
1YK0_E_A,1YK0_E_A,-0.017728767
1YK1_E_A,1YK1_E_A,1.6599162
1ZSG_B_A,1ZSG_B_A,3.875061263
2A7U_A_B,2A7U_A_B,2.079181246
2A9H_E_A,2A9H_E_A,2.954242509
2C1M_B_A,2C1M_B_A,0.041392685
2D10_E_A,2D10_E_A,0.230448921
2D1K_C_A,2D1K_C_A,2.361727836
2F31_B_A,2F31_B_A,2.008600172
2F6A_E_A,2F6A_E_A,2.301029996
2GWW_B_A,2GWW_B_A,-0.958607315
2HQW_B_A,2HQW_B_A,0.301029996
2HSQ_B_A,2HSQ_B_A,0.820201459
2I3S_B_A,2I3S_B_A,3.556302501
2IBF_B_A,2IBF_B_A,0.892094603
2IHS_C_A,2IHS_C_A,1.602059991
2JOD_B_A,2JOD_B_A,2.544068044
2JTT_C_A,2JTT_C_A,3.69019608
2K2U_B_A,2K2U_B_A,2.556302501
2K3U_B_A,2K3U_B_A,0.924279286
2K42_B_A,2K42_B_A,1.544068044
2K8F_B_A,2K8F_B_A,3.431363764
2KA6_B_A,2KA6_B_A,1.716003344
2KBW_B_A,2KBW_B_A,2.505149978
2KC8_B_A,2KC8_B_A,2.301029996
2KHS_B_A,2KHS_B_A,2.556302501
2KQS_B_A,2KQS_B_A,4.742725131
2KRI_B_A,2KRI_B_A,4.662757832
2KT5_B_A,2KT5_B_A,4.447158031
2KWJ_B_A,2KWJ_B_A,2.698970004
2KWO_B_A,2KWO_B_A,4.671172843
2KXH_B_A,2KXH_B_A,4.146128036
2KXW_B_A,2KXW_B_A,1
2L14_B_A,2L14_B_A,3.491361694
2L1L_A_B,2L1L_A_B,0.84509804
2LEH_B_A,2LEH_B_A,0.51851394
2LKM_A_B,2LKM_A_B,1.079181246
2LNK_C_A,2LNK_C_A,0.602059991
2LP0_B_A,2LP0_B_A,4.346352974
2LPB_B_A,2LPB_B_A,4.004321374
2LQC_B_A,2LQC_B_A,3.462397998
2M04_B_A,2M04_B_A,1
2M0J_B_A,2M0J_B_A,1.079181246
2M55_B_A,2M55_B_A,4.544068044
2MAK_B_A,2MAK_B_A,5.491361694
2MFQ_B_A,2MFQ_B_A,3.716003344
2MNU_B_A,2MNU_B_A,2.361727836
2MRE_B_A,2MRE_B_A,4.278753601
2MRO_B_A,2MRO_B_A,5.176091259
2MV7_B_A,2MV7_B_A,0.193124598
2MZD_B_A,2MZD_B_A,2.942999593
2N8J_B_A,2N8J_B_A,1.029383778
2OIN_C_A,2OIN_C_A,2.707570176
2OT8_C_A,2OT8_C_A,1.301029996
2P1L_B_A,2P1L_B_A,3.361727836
2P8Q_B_A,2P8Q_B_A,1.193124598
2PON_A_B,2PON_A_B,3.146128036
2QIY_C_A,2QIY_C_A,2.075546961
2QXV_B_A,2QXV_B_A,2.579783597
2ROZ_A_B,2ROZ_A_B,2.505149978
2RR3_B_A,2RR3_B_A,3.322219295
2V1D_C_A,2V1D_C_A,1.698970004
2V51_E_D,2V51_E_D,3
2V52_M_B,2V52_M_B,3.278753601
2VAY_B_A,2VAY_B_A,0.897627091
2VDA_B_A,2VDA_B_A,3.477121255
2VOF_B_A,2VOF_B_A,-0.15490196
2VOG_B_A,2VOG_B_A,2.322219295
2VOH_B_A,2VOH_B_A,0
2VOI_B_A,2VOI_B_A,0.041392685
2W84_B_A,2W84_B_A,1.84509804
2WBY_C_A,2WBY_C_A,1.301029996
2WH6_B_A,2WH6_B_A,1.255272505
2WX0_C_A,2WX0_C_A,3.903089987
2XA0_C_A,2XA0_C_A,1.547774705
2XNS_C_A,2XNS_C_A,2.908485019
2XPX_B_A,2XPX_B_A,2.176091259
2XZE_Q_A,2XZE_Q_A,2.053078443
2Y48_C_A,2Y48_C_A,5.322219295
2Y8S_B_A,2Y8S_B_A,-0.004803708
2Y8T_B_A,2Y8T_B_A,1.008600172
2YQ7_B_A,2YQ7_B_A,1.544068044
2Z34_C_A,2Z34_C_A,2.949390007
2ZVK_U_A,2ZVK_U_A,2.602059991
3AA0_C_B,3AA0_C_B,3.602059991
3AA6_C_A,3AA6_C_A,2.414973348
3AJB_B_A,3AJB_B_A,1.610660163
3B23_C_B,3B23_C_B,-0.49757288
3C4M_C_A,3C4M_C_A,2.991226076
3C66_C_A,3C66_C_A,3.477121255
3DVM_B_A,3DVM_B_A,0.635483747
3DVU_C_A,3DVU_C_A,2.301029996
3DXC_B_A,3DXC_B_A,2.342422681
3DXD_B_A,3DXD_B_A,2.531478917
3DXE_B_A,3DXE_B_A,2.51851394
3ECH_C_A,3ECH_C_A,2.477121255
3EJH_E_A,3EJH_E_A,3.698970004
3FIE_C_A,3FIE_C_A,0
3FII_B_A,3FII_B_A,0.278753601
3GJ3_B_A,3GJ3_B_A,4.69019608
3GJ4_B_A,3GJ4_B_A,3.819543936
3GJ5_B_A,3GJ5_B_A,4.672097858
3GJ6_B_A,3GJ6_B_A,3.812913357
3GS2_B_A,3GS2_B_A,0.963787827
3H3G_B_A,3H3G_B_A,2.995635195
3H8K_B_A,3H8K_B_A,1.322219295
3HTU_B_A,3HTU_B_A,3.255272505
3IXS_B_A,3IXS_B_A,1.954242509
3K6G_D_A,3K6G_D_A,1.217483944
3KJ0_B_A,3KJ0_B_A,0.301029996
3KJ1_B_A,3KJ1_B_A,0.301029996
3KJ2_B_A,3KJ2_B_A,0.301029996
3KV4_B_A,3KV4_B_A,3
3KZ0_C_A,3KZ0_C_A,2.436162647
3LK4_C_A,3LK4_C_A,0.176091259
3MHP_C_A,3MHP_C_A,3.439332694
3MJH_B_A,3MJH_B_A,3.380211242
3O34_B_A,3O34_B_A,3.944482672
3OAK_C_B,3OAK_C_B,2.230448921
3OIQ_B_A,3OIQ_B_A,3.579783597
3OWT_C_A,3OWT_C_A,3.396199347
3R0L_A_D,3R0L_A_D,0.653212514
3R85_E_A,3R85_E_A,4.615950052
3RO2_B_A,3RO2_B_A,1.662757832
3SJD_D_B,3SJD_D_B,1.491361694
3SRI_B_A,3SRI_B_A,2.217483944
3SYN_E_A,3SYN_E_A,2.77815125
3TEI_B_A,3TEI_B_A,2.698970004
3TVJ_I_B,3TVJ_I_B,0.77815125
3TZ1_B_A,3TZ1_B_A,2.149219113
3UKX_C_B,3UKX_C_B,-1.522878745
3UKZ_C_B,3UKZ_C_B,0.380211242
3UL0_C_B,3UL0_C_B,0.361727836
3UL1_A_B,3UL1_A_B,0.431363764
3VUX_E_B,3VUX_E_B,3.954242509
3VZA_E_A,3VZA_E_A,2.682145076
3WN7_B_A,3WN7_B_A,0.863917377
3WWQ_C_A,3WWQ_C_A,4.555094449
3ZRZ_C_A,3ZRZ_C_A,-1.522878745
3ZS9_C_B,3ZS9_C_B,2.176091259
3ZWH_Q_A,3ZWH_Q_A,3.187520721
3ZWL_E_B,3ZWL_E_B,2.204119983
3ZWZ_B_A,3ZWZ_B_A,1.307496038
4A1S_C_A,4A1S_C_A,0.698970004
4A1U_B_A,4A1U_B_A,2.73239376
4AOQ_D_A,4AOQ_D_A,2.304921162
4AOR_D_A,4AOR_D_A,1.784617293
4AUO_C_A,4AUO_C_A,2.602059991
4B1X_M_B,4B1X_M_B,3.63748973
4B1Y_M_B,4B1Y_M_B,2.431363764
4BQD_C_A,4BQD_C_A,-0.301029996
4BRU_B_A,4BRU_B_A,2.301029996
4BWQ_B_A,4BWQ_B_A,4.294466226
4C5G_B_A,4C5G_B_A,3.012837225
4CU4_B_A,4CU4_B_A,3.079181246
4D2G_D_B,4D2G_D_B,3.745074792
4DAY_C_A,4DAY_C_A,0.653212514
4DJ9_B_A,4DJ9_B_A,1.995635195
4DJZ_H_B,4DJZ_H_B,0.84509804
4DM6_E_A,4DM6_E_A,3.176091259
4DOQ_B_A,4DOQ_B_A,2.146128036
4EHQ_G_A,4EHQ_G_A,3.113943352
4F0Z_C_A,4F0Z_C_A,0.602059991
4FT4_P_A,4FT4_P_A,2.698970004
4FTG_E_A,4FTG_E_A,1.477121255
4G35_B_A,4G35_B_A,1.73239376
4GEQ_E_C,4GEQ_E_C,3.544068044
4GU0_E_A,4GU0_E_A,2.869818208
4GUR_C_A,4GUR_C_A,2.832508913
4H3P_B_A,4H3P_B_A,3.301029996
4HIX_A_H,4HIX_A_H,2.178976947
4IKA_D_A,4IKA_D_A,4.759667845
4J2L_C_A,4J2L_C_A,1.946943271
4JO6_Y_A,4JO6_Y_A,0.184691431
4JS0_B_A,4JS0_B_A,3.698970004
4K0A_R_A,4K0A_R_A,-0.744727495
4L67_B_A,4L67_B_A,2.505149978
4LZX_B_A,4LZX_B_A,0.705007959
4M38_E_A,4M38_E_A,4.079181246
4MI8_C_A,4MI8_C_A,3.139879086
4MQV_B_A,4MQV_B_A,3.462397998
4NAW_D_A,4NAW_D_A,1.612783857
4NE9_D_B,4NE9_D_B,3.068185862
4NU1_B_A,4NU1_B_A,4.77815125
4OJK_C_A,4OJK_C_A,4.342422681
4PBZ_B_A,4PBZ_B_A,1.698970004
4PC0_C_A,4PC0_C_A,2.301029996
4PSX_C_A,4PSX_C_A,2.531478917
4PVZ_C_A,4PVZ_C_A,1.436162647
4PZ6_P_B,4PZ6_P_B,2.322219295
4QLB_G_C,4QLB_G_C,3.204119983
4RJF_B_A,4RJF_B_A,2.397940009
4THN_I_H,4THN_I_H,-1.045757491
4TQ1_B_A,4TQ1_B_A,5.544068044
4UF1_B_A,4UF1_B_A,3.843855423
4UWX_C_A,4UWX_C_A,3.838849091
4WFD_C_A,4WFD_C_A,3.113943352
4WNN_T_C,4WNN_T_C,2.903089987
4YIZ_B_A,4YIZ_B_A,0.903089987
4YJ4_B_A,4YJ4_B_A,0.995635195
4YL8_B_A,4YL8_B_A,3.73239376
4YPI_G_C,4YPI_G_C,1.28780173
4YYP_B_A,4YYP_B_A,2.447158031
4Z80_C_A,4Z80_C_A,1.079181246
4Z9V_C_A,4Z9V_C_A,4.079181246
4ZRK_E_A,4ZRK_E_A,3
4ZW2_B_A,4ZW2_B_A,0.69019608
5AJJ_B_A,5AJJ_B_A,3.507855872
5AJK_B_A,5AJK_B_A,3.421603927
5B75_B_A,5B75_B_A,4
5B76_B_A,5B76_B_A,3.763427994
5BRM_G_A,5BRM_G_A,2.075546961
5CX3_E_A,5CX3_E_A,2.73239376
5DH9_D_C,5DH9_D_C,1.568201724
5DHA_D_C,5DHA_D_C,2.892094603
5DI9_D_C,5DI9_D_C,3.380211242
5EIB_F_C,5EIB_F_C,3.681241237
5EIV_C_A,5EIV_C_A,4.450249108
5ET1_C_A,5ET1_C_A,2.029383778
5F5O_B_A,5F5O_B_A,2.209515015
5FVK_C_A,5FVK_C_A,3.255272505
5FW5_C_A,5FW5_C_A,1.903089987
5FZT_B_A,5FZT_B_A,4.681241237
5GIM_D_B,5GIM_D_B,-0.263603498
5GTB_B_A,5GTB_B_A,4.662757832
5H3J_B_A,5H3J_B_A,2.431363764
5H6Q_C_A,5H6Q_C_A,1.77815125
5H7Y_B_A,5H7Y_B_A,2.096910013
5HYC_C_A,5HYC_C_A,4.181843588
5IBW_C_A,5IBW_C_A,-0.602059991
5INB_B_A,5INB_B_A,2.089905111
5J28_C_A,5J28_C_A,2.285557309
5J8H_B_A,5J8H_B_A,2.184691431
5K8Q_B_A,5K8Q_B_A,-0.045757491
5KXH_B_A,5KXH_B_A,2.69019608
5KY0_B_A,5KY0_B_A,3.812913357
5KY4_B_A,5KY4_B_A,4
5KY5_B_A,5KY5_B_A,2.897627091
5KY9_B_A,5KY9_B_A,3.770852012
5L6N_I_H,5L6N_I_H,0.484299839
5LI1_B_A,5LI1_B_A,2.672097858
5LXM_D_A,5LXM_D_A,2.255272505
5LZ6_B_A,5LZ6_B_A,3.903089987
5M36_C_B,5M36_C_B,3.439332694
5MJY_E_A,5MJY_E_A,4.053078443
5MK0_B_A,5MK0_B_A,3.491361694
5NQF_B_A,5NQF_B_A,2.227886705
5NQG_B_A,5NQG_B_A,1.698970004
5NVM_B_A,5NVM_B_A,1.146128036
5NVN_B_A,5NVN_B_A,1.740362689
5NWM_B_A,5NWM_B_A,1.602059991
5OAQ_L_A,5OAQ_L_A,1.763427994
5ONA_C_B,5ONA_C_B,2.26245109
5OO6_C_A,5OO6_C_A,3
5OOB_E_C,5OOB_E_C,3.51851394
5OY9_D_A,5OY9_D_A,3.574031268
5OYL_D_A,5OYL_D_A,3.875061263
5SVI_A_B,5SVI_A_B,3.832508913
5SXP_F_A,5SXP_F_A,3.201397124
5TGH_B_A,5TGH_B_A,2.977723605
5TP6_B_A,5TP6_B_A,0.278753601
5TUV_C_A,5TUV_C_A,2.903089987
5TWA_D_A,5TWA_D_A,1.819543936
5TZP_B_A,5TZP_B_A,1.477121255
5TZQ_C_B,5TZQ_C_B,1.204119983
5U4K_B_A,5U4K_B_A,4.176091259
5UA4_B_A,5UA4_B_A,1.414973348
5UUL_B_A,5UUL_B_A,0.681241237
5UWH_D_C,5UWH_D_C,2.826074803
5UWO_D_C,5UWO_D_C,3.477121255
5UWQ_D_C,5UWQ_D_C,4.301029996
5UWS_D_C,5UWS_D_C,3.176091259
5UWU_D_C,5UWU_D_C,3.662757832
5VKL_B_A,5VKL_B_A,2.053078443
5VKO_B_A,5VKO_B_A,0.602059991
5VT9_C_A,5VT9_C_A,1
5VWX_B_A,5VWX_B_A,1.173186268
5VWY_B_A,5VWY_B_A,3.113943352
5VX2_B_A,5VX2_B_A,0.397940009
5VX3_B_A,5VX3_B_A,-0.397940009
5WGG_B_A,5WGG_B_A,2.84509804
5WOS_B_A,5WOS_B_A,2.547774705
5WY2_B_A,5WY2_B_A,2.73239376
5X60_C_A,5X60_C_A,1.477121255
5XCO_B_A,5XCO_B_A,0.949390007
5XOD_B_A,5XOD_B_A,1.44870632
5XSQ_B_A,5XSQ_B_A,0.866287339
5XYF_B_A,5XYF_B_A,3.021189299
5YI8_B_A,5YI8_B_A,3.255272505
5YIP_B_A,5YIP_B_A,0.568201724
5YIR_C_D,5YIR_C_D,-0.568636236
5YIS_D_B,5YIS_D_B,0.62324929
6AAF_B_A,6AAF_B_A,2.206825876
6C48_F_B,6C48_F_B,1.602059991
6D1U_D_A,6D1U_D_A,3.559906625
6E3I_B_A,6E3I_B_A,0.506505032
6E3J_B_A,6E3J_B_A,1.145507171
6G04_B_A,6G04_B_A,2.84509804
6GD5_B_A,6GD5_B_A,0.579783597
1A37_P_A,1A37_P_A,2.079181246
1ABT_B_A,1ABT_B_A,3.146128036
1AQC_C_A,1AQC_C_A,3.658964843
1AVP_B_A,1AVP_B_A,1.079181246
1AWI_P_A,1AWI_P_A,4.954242509
1AZE_B_A,1AZE_B_A,4.77815125
1BBZ_B_A,1BBZ_B_A,3.176091259
1BHF_I_A,1BHF_I_A,4.62324929
1BJR_I_E,1BJR_I_E,1.322219295
1BR8_P_I,1BR8_P_I,4.255272505
1BT6_C_A,1BT6_C_A,3.301029996
1BXL_B_A,1BXL_B_A,2.531478917
1BZH_I_A,1BZH_I_A,2.230448921
1CKA_B_A,1CKA_B_A,3.278753601
1CKB_B_A,1CKB_B_A,3.716003344
1CWB_C_A,1CWB_C_A,1.113943352
1D4T_B_A,1D4T_B_A,2.812913357
1DDM_B_A,1DDM_B_A,3.230448921
1DKD_E_A,1DKD_E_A,3.301029996
1DPU_B_A,1DPU_B_A,3
1DXP_C_A,1DXP_C_A,1.431363764
1EKB_A_B,1EKB_A_B,3
1ELR_B_A,1ELR_B_A,4.041392685
1EVH_B_A,1EVH_B_A,5.779596491
1F47_A_B,1F47_A_B,4.334453751
1F8A_C_B,1F8A_C_B,4
1F9E_Q_A,1F9E_Q_A,0.301029996
1FCH_C_A,1FCH_C_A,1.84509804
1FF1_B_A,1FF1_B_A,4.079181246
1FHR_P_A,1FHR_P_A,5
1FKN_C_A,1FKN_C_A,0.204119983
1G1E_A_B,1G1E_A_B,1.462397998
1G3F_B_A,1G3F_B_A,2.633468456
1G6G_E_A,1G6G_E_A,2.72427587
1GAG_B_A,1GAG_B_A,2.875061263
1GUW_B_A,1GUW_B_A,3.278753601
1GUX_E_B,1GUX_E_B,2.041392685
1GVU_I_A,1GVU_I_A,0
1GVX_I_A,1GVX_I_A,1.77815125
1GWQ_C_A,1GWQ_C_A,1.880813592
1H24_E_B,1H24_E_B,2.698970004
1H25_E_B,1H25_E_B,3.255272505
1H26_E_B,1H26_E_B,3.462397998
1H27_E_B,1H27_E_B,3.397940009
1H28_E_B,1H28_E_B,2.477121255
1H3H_B_A,1H3H_B_A,2.342422681
1H6E_P_A,1H6E_P_A,2.84509804
1H9L_A_B,1H9L_A_B,5.880813592
1I3Z_B_A,1I3Z_B_A,2.117271296
1I8I_C_A,1I8I_C_A,1.342422681
1IDG_B_A,1IDG_B_A,1.812913357
1ILQ_C_A,1ILQ_C_A,4.113943352
1IQ1_A_C,1IQ1_A_C,1.544068044
1IRS_B_A,1IRS_B_A,3.77815125
1IWQ_B_A,1IWQ_B_A,0.944482672
1J19_B_A,1J19_B_A,1.214843848
1J4P_B_A,1J4P_B_A,4.008600172
1J4Q_B_A,1J4Q_B_A,2.556302501
1JD5_B_A,1JD5_B_A,2.380211242
1JD6_B_A,1JD6_B_A,1.612783857
1JM4_A_B,1JM4_A_B,4
1JPL_E_A,1JPL_E_A,4
1JQ8_P_A,1JQ8_P_A,3.004321374
1JUQ_E_A,1JUQ_E_A,4.748188027
1JYC_P_A,1JYC_P_A,4.662757832
1KA7_B_A,1KA7_B_A,2.77815125
1KL3_E_A,1KL3_E_A,3.136720567
1L0A_B_A,1L0A_B_A,4.378397901
1L2Z_B_A,1L2Z_B_A,5.307496038
1LB6_B_A,1LB6_B_A,4.924279286
1LCJ_B_A,1LCJ_B_A,0
1M4H_C_A,1M4H_C_A,-0.522878745
1MF4_B_A,1MF4_B_A,1.008600172
1MFG_B_A,1MFG_B_A,4.698970004
1MPA_P_H,1MPA_P_H,0.959041392
1MQ1_C_A,1MQ1_C_A,2.414973348
1MV0_A_B,1MV0_A_B,4.969881644
1MWN_X_A,1MWN_X_A,2.301029996
1N4M_C_A,1N4M_C_A,2.278753601
1N5Z_P_A,1N5Z_P_A,4.643452676
1NLT_B_A,1NLT_B_A,4.079181246
1NY2_4_2,1NY2_4_2,6.243038049
1NZL_C_B,1NZL_C_B,1.84509804
1NZV_C_B,1NZV_C_B,2.602059991
1O9D_P_A,1O9D_P_A,3.397940009
1O9K_P_A,1O9K_P_A,2.531478917
1OAI_B_A,1OAI_B_A,4
1OBX_B_A,1OBX_B_A,3.278753601
1OEB_C_B,1OEB_C_B,2.071882007
1OJ5_B_A,1OJ5_B_A,2.903089987
1OK7_C_B,1OK7_C_B,3.079181246
1OM2_B_A,1OM2_B_A,4.301029996
1OM9_P_A,1OM9_P_A,4.84509804
1OQP_B_A,1OQP_B_A,1.698970004
